sample_id,ligand,cation,mean_intensity,sd_intensity,n_wells,label_binary
79.52,ThT,NaCl,91.61,,1,weak
79.59,ThT,NaCl,81.30000000000001,,1,weak
79.6,ThT,NaCl,110.05,,1,weak
79.61,ThT,NaCl,111.10499999999999,,1,weak
80.32,ThT,NaCl,74.1,,1,weak
80.42,ThT,NaCl,78.14,,1,weak
80.76,ThT,NaCl,115.88,,1,weak
81.64,ThT,NaCl,75.49000000000001,,1,weak
81.65,ThT,NaCl,77.33000000000001,,1,weak
81.77,ThT,NaCl,90.935,,1,weak
81.92,ThT,NaCl,117.81,,1,weak
81.97,ThT,NaCl,74.57,,1,weak
82.55,ThT,NaCl,79.215,,1,weak
82.82,ThT,NaCl,64.225,,1,weak
83.01,ThT,NaCl,81.30000000000001,,1,weak
84.8,ThT,NaCl,92.69999999999999,,1,weak
84.88,ThT,NaCl,78.1,,1,weak
85.09,ThT,NaCl,86.16499999999999,,1,weak
86.3,ThT,NaCl,90.07,,1,weak
87.12,ThT,NaCl,124.56,,1,weak
87.24,ThT,NaCl,86.16499999999999,,1,weak
87.28,ThT,NaCl,82.95,,1,weak
87.7,ThT,NaCl,77.755,,1,weak
88,ThT,NaCl,89.10499999999999,,1,weak
88.44,ThT,NaCl,81.5,,1,weak
89.37,ThT,NaCl,80.295,,1,weak
90.21,ThT,NaCl,89.10499999999999,,1,weak
91.33,ThT,NaCl,96.065,,1,weak
92.67,ThT,NaCl,79.89500000000001,,1,weak
93.84,ThT,NaCl,90.07,,1,weak
94.01,ThT,NaCl,70.92,,1,weak
94.25,ThT,NaCl,122.675,,1,weak
94.68,ThT,NaCl,114.39,,1,weak
94.82,ThT,NaCl,124.86,,1,weak
95.97,ThT,NaCl,104.13499999999999,,1,weak
96.01,ThT,NaCl,96.035,,1,weak
96.06,ThT,NaCl,96.035,,1,weak
99.17,ThT,NaCl,83.505,,1,weak
Ctrl0001,ThT,NaCl,37.92,,1,weak
Ctrl0002,ThT,NaCl,41.59,,1,weak
L1A,ThT,NaCl,76.36500000000001,,1,weak
L1AA,ThT,NaCl,82.95,,1,weak
L1AT,ThT,NaCl,74.91,,1,weak
L1C,ThT,NaCl,96.035,,1,weak
L1CC,ThT,NaCl,115.88,,1,weak
L1CT,ThT,NaCl,120.4,,1,weak
L1TA,ThT,NaCl,72.78,,1,weak
L1TC,ThT,NaCl,117.81,,1,weak
L2A,ThT,NaCl,112.94999999999999,,1,weak
L2AA,ThT,NaCl,90.935,,1,weak
L2AT,ThT,NaCl,77.33000000000001,,1,weak
L2C,ThT,NaCl,92.69999999999999,,1,weak
L2CC,ThT,NaCl,79.14,,1,weak
L2CT,ThT,NaCl,112.38,,1,weak
L2TA,ThT,NaCl,64.225,,1,weak
L2TC,ThT,NaCl,111.10499999999999,,1,weak
L3A,ThT,NaCl,96.065,,1,weak
L3AA,ThT,NaCl,89.10499999999999,,1,weak
L3AT,ThT,NaCl,81.5,,1,weak
L3C,ThT,NaCl,92.795,,1,weak
L3CC,ThT,NaCl,86.55,,1,weak
L3CT,ThT,NaCl,121.25,,1,weak
L3TA,ThT,NaCl,81.30000000000001,,1,weak
L3TC,ThT,NaCl,110.05,,1,weak
RF11C,ThT,NaCl,65.625,,1,weak
RF222C,ThT,NaCl,58.76,,1,weak
RF333C,ThT,NaCl,64.545,,1,weak
