well,mean_intensity,n_points,sample_id,ligand,cation
G12,37.92,2,30.53,ThT,NaCl
G12,37.92,2,45.31,ThT,NaCl
G2,72.17500000000001,2,222TF,ThT,NaCl
G2,72.17500000000001,2,72.81,ThT,NaCl
G2,72.17500000000001,2,71.54,ThT,NaCl
G3,74.1,2,333TF,ThT,NaCl
G3,74.1,2,67.88,ThT,NaCl
G3,74.1,2,80.32,ThT,NaCl
G4,67.02000000000001,2,444TF,ThT,NaCl
G4,67.02000000000001,2,63.39,ThT,NaCl
G4,67.02000000000001,2,70.65,ThT,NaCl
G5,62.67,2,555TF,ThT,NaCl
G5,62.67,2,56.7,ThT,NaCl
G5,62.67,2,68.64,ThT,NaCl
G6,114.64999999999999,2,111AF,ThT,NaCl
G6,114.64999999999999,2,100.6,ThT,NaCl
G6,114.64999999999999,2,128.7,ThT,NaCl
G7,95.28999999999999,2,222AF,ThT,NaCl
G7,95.28999999999999,2,76.78,ThT,NaCl
G7,95.28999999999999,2,113.8,ThT,NaCl
G8,83.505,2,333AF,ThT,NaCl
G8,83.505,2,99.17,ThT,NaCl
G8,83.505,2,67.84,ThT,NaCl
G9,124.95,2,444AF,ThT,NaCl
G9,124.95,2,131.3,ThT,NaCl
G9,124.95,2,118.6,ThT,NaCl
H1,65.625,2,RF11C,ThT,NaCl
H1,65.625,2,63.09,ThT,NaCl
H1,65.625,2,68.16,ThT,NaCl
H2,58.76,2,RF222C,ThT,NaCl
H2,58.76,2,52.95,ThT,NaCl
H2,58.76,2,64.57,ThT,NaCl
H3,64.545,2,RF333C,ThT,NaCl
H3,64.545,2,59.34,ThT,NaCl
H3,64.545,2,69.75,ThT,NaCl
